topCat_id	TopCatname	firstCat_id	firstCatname	secondCat_id	secondCatname				
40443	Accessories	40457	A/V & Music Accessories	46879	A/V Amps, Modulators, Filters & Splitters				
40443	Accessories	40457	A/V & Music Accessories	46880	A/V Home Theater Distribution & Switching				
40443	Accessories	40457	A/V & Music Accessories	46881	A/V Remote Controls				
40443	Accessories	40457	A/V & Music Accessories	40530	Audio Adapters				
40443	Accessories	40457	A/V & Music Accessories	46882	Audio Cassette Copiers				
40443	Accessories	40457	A/V & Music Accessories	40531	Audio Equalizers				
40443	Accessories	40457	A/V & Music Accessories	40532	Audio Mixers				
40443	Accessories	40457	A/V & Music Accessories	40533	PC Headset/Microphone Combo				
40443	Accessories	40457	A/V & Music Accessories	40534	PC Headsets/Headphones				
40443	Accessories	40457	A/V & Music Accessories	40535	PC Microphones				
40443	Accessories	40457	A/V & Music Accessories	46798	Speakers, Subwoofers & Accessories				
40443	Accessories	45404	Anti Theft Devices	45470	Cable Locks				
40443	Accessories	45404	Anti Theft Devices	45471	Motion Sensors				
40443	Accessories	45404	Anti Theft Devices	45472	Password/Token Security				
40443	Accessories	45404	Anti Theft Devices	45473	Plate Locks				
40443	Accessories	45404	Anti Theft Devices	45474	Solenoid Locks				
40443	Accessories	40458	Desk Accessories	40536	Back & Foot Rests				
40443	Accessories	40458	Desk Accessories	40537	Calculators				
40443	Accessories	40458	Desk Accessories	46756	Computer Tool Kits				
40443	Accessories	40458	Desk Accessories	40538	Copy Holders				
40443	Accessories	40458	Desk Accessories	40539	CPU Stands				
40443	Accessories	40458	Desk Accessories	40540	Desk Organizers				
40443	Accessories	40458	Desk Accessories	40541	Dust Covers				
40443	Accessories	40458	Desk Accessories	40542	Keyboard Accessories				
40443	Accessories	40458	Desk Accessories	40543	Mouse & Keyboard Pads & Rests				
40443	Accessories	40458	Desk Accessories	40544	Travel Lights & Fans				
40443	Accessories	46757	Keyboard Drawers/Platforms [Alias]	NULL	NULL				
40443	Accessories	40459	Monitor/TV Accessories	46883	Converter Boxes				
40443	Accessories	40459	Monitor/TV Accessories	40545	Display Accessories				
40443	Accessories	40459	Monitor/TV Accessories	40546	LCD Display Carrying Cases				
40443	Accessories	40459	Monitor/TV Accessories	40547	Monitor Anti-Glare Filters				
40443	Accessories	40459	Monitor/TV Accessories	40548	Monitor Overlays				
40443	Accessories	40459	Monitor/TV Accessories	40549	Monitor/TV Lifts/Arms/Stands/Mounts/Bezels				
40443	Accessories	40459	Monitor/TV Accessories	40550	Remote Controls				
40443	Accessories	47831	Network Accessories	47832	Network Security Accs & Components				
40443	Accessories	40460	Notebook/Tablet Accessories	40551	Notebook Accessory Kits				
40443	Accessories	40460	Notebook/Tablet Accessories	45424	Notebook Batteries/Chargers/AC				
40443	Accessories	40460	Notebook/Tablet Accessories	40552	Notebook Carrying Cases & Carts				
40443	Accessories	40460	Notebook/Tablet Accessories	40553	Notebook Docking Options & Stands				
40443	Accessories	40460	Notebook/Tablet Accessories	40554	Notebook Explansion Bays & Options				
40443	Accessories	40460	Notebook/Tablet Accessories	45425	Notebook GPS Products				
40443	Accessories	40460	Notebook/Tablet Accessories	40555	Notebook Power Options				
40443	Accessories	40460	Notebook/Tablet Accessories	45426	Notebook Travel Connectivity				
40443	Accessories	40460	Notebook/Tablet Accessories	40556	Tablet PC Accessories				
40443	Accessories	40462	Printer/Plotter Accessories	45430	Label Printer Accessories				
